数据年月,商品编码,商品名称,美元
201709,3506,其他品目未列名的调制...,164590887
201709,3507,酶；其他品目未列名的...,27375449
201709,3601,发射药,2720557
201709,3602,配制炸药， 但发射药...,1224826
201709,3603,安全导火索；导爆索；...,10745616
201709,3604,烟花、爆竹、信号弹、...,48498287
201709,3605,火柴， 但品目360...,522459
201709,3606,各种形状的铈铁及其他...,901537
201709,3701,未曝光的摄影感光硬片...,41806311
201709,3702,成卷的未曝光摄影感光...,14182497
201709,3703,未曝光的摄影感光纸、...,3864689
201709,3704,已曝光未冲洗的摄影硬...,34174
201709,3705,已曝光已冲洗的摄影硬...,47953
201709,3707,摄影用化学制剂（不包...,29082062
201709,3801,人造石墨；胶态或半胶...,36066950
201709,3802,活性碳；活性天然矿产...,34733320
201709,3804,木桨残余碱液，不论是...,1220110
201709,3805,脂松节油、木松节油和...,2014804
201709,3806,松香和树脂酸及衍生物...,23794289
201709,3807,木焦油；精制木焦油；...,1085217
201709,3808,杀虫剂、杀鼠剂、杀菌...,311515540
201709,3809,纺织、造纸、制革及类...,15482586
201709,3810,金属表面酸洗剂；焊接...,6759521
201709,3811,抗震剂、抗氧剂、防胶...,18711909
201709,3812,配制的橡胶促进剂；其...,56214072
201709,3813,灭火器的装配药；已装...,2191428
201709,3814,其他品目未列名的有机...,3606861
201709,3815,其他品目未列名的反应...,39966487
201709,3816,耐火的水泥、灰泥、混...,19529487
201709,3817,混合烷基苯及混合烷基...,16708893
201709,3818,经掺杂用于电子工业的...,387726603
201709,3819,闸用液压油及其他液压...,794028
201709,3820,防冻剂及解冻剂,1098428
201709,3821,制成的供微生物（包括...,556708
201709,3822,附于衬背上的诊断或实...,20750653
201709,3823,工业用单羧脂肪酸；精...,5878250
201709,3824,铸模及铸芯用粘合剂；...,312660854
201709,3825,其他品目未列名的化学...,1908327
201709,3826,生物柴油及其混合物，...,21195409
201709,3901,初级形状的乙烯聚合物,64996331
201709,3902,初级形状的丙烯或其他...,36355948
201709,3903,初级形状的苯乙烯聚合...,48184216
201709,3904,初级形状的氯乙烯或其...,87549678
201709,3905,初级形状的乙酸乙烯酯...,26679786
201709,3906,初级形状的丙烯酸聚合...,76593591
201709,3907,初级形状的聚缩醛、其...,435884278
201709,3908,初级形状的聚酰胺,64471755
201709,3909,初级形状的氨基树脂、...,169609826
201709,3910,初级形状的聚硅氧烷,63872868
201709,3911,初级形状的石油树脂、...,51457921
201709,3912,初级形状的其他品目未...,28710645
201709,3913,初级形状的其他品目未...,31071978
201709,3914,初级形状的离子交换剂...,16476415
201709,3915,塑料的废碎料及下脚料,20386494
201709,3916,塑料单丝（截面直径＞...,39298474
201709,3917,塑料制的管子及其附件...,190028600
201709,3918,块状或成卷的塑料铺地...,369454879
201709,3919,自粘的塑料板、片、膜...,242819976
201709,3920,其他非泡沫塑料的板、...,509652961
201709,3921,其他塑料板、片、膜、...,161525418
201709,3922,塑料浴缸、淋浴盘、洗...,67052872
201709,3923,供运输或包装货物用的...,690959558
201709,3924,塑料制的餐具、厨房用...,712163288
201709,3925,其他品目未列名的建筑...,134714638
201709,3926,其他塑料制品及品目3...,1463826658
201709,4001,天然橡胶、巴拉塔胶、...,2780016
201709,4002,合成橡胶及从油类提取...,46638550
201709,4003,再生橡胶，初级形状或...,7792682
201709,4004,橡胶（硬质橡胶除外）...,116122
201709,4005,未硫化的复合橡胶，初...,3462858
